State,Source_Link
North Dakota,https://www.hhs.nd.gov/news/nine-cases-measles-williams-county
North Dakota,https://www.hhs.nd.gov/news/two-cases-measles-reported-cass-county
North Dakota,https://www.valleynewslive.com/2025/05/05/hhs-confirms-three-more-measles-cases-north-dakota/
Ohio,https://baynews9.com/fl/tampa/news/2025/04/09/holmes-county-confirms-measles-case
Ohio,https://defiancecohealth.org/defiance-county-confirmed-case-of-measles/?utm_source=rss&utm_medium=rss&utm_campaign=defiance-county-confirmed-case-of-measles
Ohio,https://odh.ohio.gov/media-center/ODH-News-Releases/health-director-announces-measles-case-in-ohio
Ohio,https://odh.ohio.gov/media-center/odh-news-releases/odh-confirms-measles-outbreak-032625
Ohio,https://signalcleveland.org/cuyahoga-county-has-a-confirmed-measles-case-heres-what-to-know/
Ohio,https://spectrumnews1.com/oh/columbus/news/2025/04/16/measles-cases-in-an-ohio-county-rise-to-20
Ohio,https://www.10tv.com/article/news/health/measles-outbreak-knox-county/530-73630cf0-45db-4848-8d6b-f51eeef79a69
Ohio,https://www.knoxhealth.com/index.php/public-health-news-articles/506-two-more-confirmed-measles-cases-in-knox-county
Ohio,https://www.meadvilletribune.com/news/another-county-measles-case-confirmed-in-ashtabula-county/article_21e41bef-463f-5f2d-bb93-281cd8199309.html
Ohio,https://www.vwcs.net/post-panel/news/~board/van-wert-city-schools/post/measles-case-confirmed-in-allen-county
Oklahoma,https://oklahoma.gov/health/health-education/acute-disease-service/rash-illness/measles.html
Pennsylvania,https://eriecountypa.gov/wp-content/uploads/2025/03/Media-Release-3-30-25.pdf
Pennsylvania,https://whyy.org/articles/philadelphia-measles-chop-south-philly/
Pennsylvania,https://www.buckscounty.gov/CivicAlerts.aspx?AID=1251
Pennsylvania,https://www.montgomerycountypa.gov/civicalerts.aspx?AID=4649
Pennsylvania,https://www.pa.gov/agencies/health/newsroom/doh-alerts-pennsylvanians-of-confirmed-measles-case-in-in-lancas.html
Pennsylvania,https://www.pennlive.com/health/2025/03/2-cases-of-measles-reported-in-pa-county-heres-where.html
Pennsylvania,https://www.phila.gov/2025-04-11-health-department-issues-notification-about-potential-measles-exposure-4/
Pennsylvania,"https://www.post-gazette.com/news/health/2025/05/09/measles-cases-pa-us/stories/202505100032#:~:text=Erie%20County%20has%20had%20a,cases%20have%20resulted%20in%20hospitalizations."
Rhode Island,https://www.ri.gov/press/view/48669
Tennessee,https://www.shelbytnhealth.com/CivicAlerts.aspx?AID=476
Tennessee,https://www.tn.gov/health/news/2025/4/1/tennessee-department-of-health-confirms-three-additional-measles-cases.html
Tennessee,https://www.tn.gov/health/news/2025/4/17/tennessee-department-of-health-confirms-two-additional-measles-cases-.html
Tennessee,https://www.wate.com/news/top-stories/knox-county-health-department-on-tennessee-measles-case/
Texas,https://www.contagionlive.com/view/measles-outbreak-in-texas-expands-to-58-cases-hospitalizations-increase
Texas,https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025
Texas,https://www.fox4news.com/news/texas-measles-cases-outbreak-2025-march-18-update
Texas,https://www.fox4news.com/news/texas-measles-outbreak-2025-124-cases-identified
Vermont,https://www.healthvermont.gov/media/current-news-releases/vermont-department-health-confirms-case-measles
Virginia,https://www.vdh.virginia.gov/measles/
Virginia,https://www.vdh.virginia.gov/news/2025-news-releases/virginia-health-officials-confirm-second-2025-measles-case-in-the-state/
Washington,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/measles
Washington,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/03-18-second-measles-case
Washington,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-02-measles
Washington,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-11-measles
Washington,https://washingtonstatestandard.com/2025/02/27/infant-in-king-county-identified-as-first-washington-measles-case-of-the-year/
